,Mean,2.5q,97.5q
v_subj(self_self).24,2.9245418737053823,2.7683325544001094,3.0457751607055674
v_subj(self_self).25,2.9285810387427618,2.7751385559853676,3.052616553825445
v_subj(self_self).26,2.9336464113649927,2.784917296249476,3.0583814447677864
v_subj(self_self).27,2.945289820304682,2.804198602931984,3.091073834589371
v_subj(self_self).28,2.9265627077346923,2.7745907541206374,3.047202278831045
v_subj(self_self).29,2.9317569643192143,2.780077446722481,3.0538257130579423
v_subj(self_self).30,2.9240022810857234,2.7608258693507985,3.0448224422755406
v_subj(self_self).31,2.934002861951167,2.7877280758458056,3.0625826557955276
t,0.20022802732336178,0.19282067653373952,0.20811000736390178
t_std,0.020626536789459953,0.015759585224912297,0.027331998270995975
t_subj.0,0.21295376782975373,0.20175099453160264,0.2227031278807766
t_subj.1,0.2388929367328458,0.228924688098427,0.2486104408655657
t_subj.2,0.2104986966070989,0.20016737710508606,0.22072650377354402
t_subj.3,0.20676344163716964,0.197193944462727,0.21610231765936902
t_subj.4,0.19739638584969074,0.18675070998908702,0.20688174027669654
t_subj.5,0.17217831381222945,0.16306911434931823,0.1808776045357328
t_subj.6,0.21154003512362426,0.20134057472935815,0.2209885398376941
t_subj.7,0.19115725211594933,0.1817454338284641,0.20040736870965703
t_subj.8,0.17693343057133587,0.16731181520307004,0.1858320761094771
t_subj.9,0.19708203514407857,0.1856592402891401,0.20946521328292902
t_subj.10,0.22187043269868575,0.21183461198345402,0.2315781062411896
t_subj.11,0.19291842778758994,0.1833926986709093,0.20187282156843953
t_subj.12,0.18765720068147745,0.17843188732930346,0.19636407276509543
t_subj.13,0.21150728876437863,0.2015568041302499,0.22082521695404908
t_subj.14,0.23393273630419403,0.2236856167866942,0.24342600245470897
t_subj.15,0.1846186052447787,0.17516454565522507,0.19365201489530148
t_subj.16,0.17265832753421542,0.16366389308768653,0.1813410704152917
t_subj.17,0.19202791740893785,0.18274564655966172,0.2008863169958401
t_subj.18,0.17773211133291195,0.1682065232158026,0.18768374502363072
t_subj.19,0.2061220330259988,0.1967819963536055,0.21557105279225727
t_subj.20,0.20694422072125546,0.19524121333960714,0.21746914475410659
t_subj.21,0.21847734293309096,0.20854637450817662,0.22773305766521262
t_subj.22,0.18139497495653323,0.1721001986450564,0.19051037104332058
t_subj.23,0.2035202141279239,0.19159624014258486,0.21465089039884586
t_subj.24,0.20112298126875108,0.1911532761048748,0.21053960996518645
t_subj.25,0.23718681385213858,0.22524892515604245,0.24973351880150638
t_subj.26,0.1704582628629938,0.15976396887277738,0.1806989369309601
t_subj.27,0.20782376376028086,0.19781527843778265,0.2175120232910603
t_subj.28,0.1960632246390151,0.18655263739167843,0.205145688194559
t_subj.29,0.16872531487228284,0.15913356655272476,0.17843064706728984
t_subj.30,0.19274215773938536,0.18355567495456332,0.20177238782177598
t_subj.31,0.21830496788658232,0.20832468018654302,0.2275513587106343
z(friend),0.4714742444468118,0.4605712214303191,0.48244991627978806
z(self),0.4608851254171599,0.4513314949063696,0.4703728243000923
z_std,0.022529059586308364,0.0041388962059546435,0.0506606304924591
z_subj(friend).0,0.4713358774319598,0.45575925319761207,0.48667083932957356
z_subj(friend).1,0.4703064957058654,0.45450695779171335,0.48561685273079497
z_subj(friend).2,0.47066716319782115,0.4551764413726716,0.48549793815750225
z_subj(friend).3,0.47181473864439794,0.4565375900862738,0.48764892068623933
z_subj(friend).4,0.4708908595825338,0.45498288887945665,0.48629021214453716
z_subj(friend).5,0.4700521709681908,0.45363371083434173,0.48501516172598064
z_subj(friend).6,0.4719306183516556,0.45671647437635626,0.48774803469629086
z_subj(friend).7,0.46931036781561375,0.4526844782662127,0.48372282791487203
z_subj(friend).8,0.47227870565885377,0.45742773688610283,0.48861956866026474
z_subj(friend).9,0.4716948616053643,0.4560514001146199,0.48800609745126006
z_subj(friend).10,0.4705162264980325,0.4543002733946109,0.4852751468484021
z_subj(friend).11,0.47247257324444775,0.45730014890976134,0.48908682646595547
z_subj(friend).12,0.4716808170771123,0.4563537764390315,0.487795343370632
z_subj(friend).13,0.4731352938847543,0.45823783086940983,0.48993466001944136
z_subj(friend).14,0.4719357297779447,0.45674482701331465,0.4886851957737376
z_subj(friend).15,0.469785334855637,0.45341099762622417,0.48514968263037667
z_subj(friend).16,0.47039207124511145,0.45450074794575274,0.48564507499078047
z_subj(friend).17,0.4717857522839623,0.4567022531744997,0.4879396743394985
z_subj(friend).18,0.4699288752080515,0.45327200521073585,0.48463646418512274
z_subj(friend).19,0.4720524392852477,0.4571727361060688,0.48793608782379355
z_subj(friend).20,0.47104869823844636,0.45573753798456124,0.4863711716137144
z_subj(friend).21,0.4719348873344735,0.4567304700164009,0.4877760213096951
z_subj(friend).22,0.4711384121215418,0.4559420012845301,0.48651997338842756
z_subj(friend).23,0.4711098718439283,0.45522541268930106,0.48660480212845747
z_subj(friend).24,0.4728415388111853,0.45799913298398753,0.49002351999218
z_subj(friend).25,0.47199080557734985,0.4568887121342025,0.48845902696657184
z_subj(friend).26,0.47173544898759623,0.4565617377918419,0.48771140719704953
z_subj(friend).27,0.4739126536684286,0.45905472170482126,0.4919852975150413
z_subj(friend).28,0.4708174468015042,0.4554350079462264,0.4859010544723538
z_subj(friend).29,0.4704745374929795,0.45424075948299797,0.4857389476166652
z_subj(friend).30,0.47211643739974635,0.45718733157437785,0.48796575184528335
z_subj(friend).31,0.4735069134552703,0.458600548760503,0.4905482552186451
z_subj(self).0,0.4622955740649322,0.4481017158316049,0.47793316999061725
z_subj(self).1,0.46331434104339153,0.44962585203845185,0.47892581454030153
z_subj(self).2,0.4607059842629075,0.4458223022042299,0.4750321827395603
z_subj(self).3,0.4615317686164438,0.44675039758152935,0.47640651484257857
z_subj(self).4,0.459725188217426,0.443517650194634,0.47396930529025255
z_subj(self).5,0.45988686665019707,0.4439048326386495,0.4741624825303869
z_subj(self).6,0.46429458177072863,0.450375354423078,0.48182432415244114
z_subj(self).7,0.46041335728344823,0.44486188992919257,0.4747124184786675
z_subj(self).8,0.46280567789523636,0.4490190316719385,0.47840327199173804
z_subj(self).9,0.4578101376111096,0.43997475562244637,0.4719248784532455
z_subj(self).10,0.46218722407010115,0.44787516050840165,0.4776163397820236
z_subj(self).11,0.4633623086857151,0.4494643155961235,0.48009054452686034
z_subj(self).12,0.4581299953086208,0.4405268603586815,0.47200994993821216
z_subj(self).13,0.4677482062815036,0.4529310933424275,0.4901626542452444
z_subj(self).14,0.4623009430956975,0.447965808472404,0.4778888130689485
z_subj(self).15,0.4592794797348064,0.4432453384152408,0.4731557560217975
z_subj(self).16,0.46080351500272504,0.4453860333672013,0.475313184207349
z_subj(self).17,0.4569154610365248,0.43812715889005066,0.47074781304502933
z_subj(self).18,0.4558149350751941,0.43511254767802277,0.47020636769030155
z_subj(self).19,0.46051163149328267,0.44565241272110384,0.47509347361557797
z_subj(self).20,0.460105272806205,0.4443013400755841,0.4745781219582511
z_subj(self).21,0.46243408809170683,0.44812385168345725,0.4780646791461637
z_subj(self).22,0.4627804646200431,0.4487341580973193,0.478373764061627
z_subj(self).23,0.4611070928225346,0.4455135316522315,0.47613762940774323
z_subj(self).24,0.4573582816670216,0.43905436207966647,0.47120716793275924
z_subj(self).25,0.464249489195322,0.4499720014876063,0.481777926079581
z_subj(self).26,0.4627072446166738,0.44877591234984326,0.47839386565720676
z_subj(self).27,0.4598100151658864,0.44346398724516495,0.47386575148910354
z_subj(self).28,0.4586931615707796,0.44199277435258183,0.4724522956831943
z_subj(self).29,0.4566291353036281,0.43728083922722977,0.47053365567308647
z_subj(self).30,0.4601096427456736,0.44409497532833697,0.4744892402782122
z_subj(self).31,0.46206892478440914,0.44720348311508307,0.4780967610281596
