,Mean,2.5q,97.5q
v(friend_friend),-2.7562428619618426,-2.8601139070955104,-2.6536093919655266
v(friend_self),3.204572602619916,3.101660171739422,3.292967543625999
v(self_friend),-3.1352283329524937,-3.2288232908660146,-3.053879191208407
v(self_self),2.66970375644857,2.5511279523328403,2.775729870924383
v_std,0.06524005425874348,0.012344887141898832,0.12671819615257443
v_subj(friend_friend).0,-2.712420881881511,-2.869033823153564,-2.5022049108555873
v_subj(friend_friend).1,-2.7208233595733526,-2.8774239682063523,-2.522481298678532
v_subj(friend_friend).2,-2.7290145651652518,-2.8838172963059985,-2.536692462251188
v_subj(friend_friend).3,-2.7654816605800776,-2.9439329287169733,-2.5933993394057007
v_subj(friend_friend).4,-2.744249956300987,-2.91561115326495,-2.555918839612696
v_subj(friend_friend).5,-2.7709130615218345,-2.9583177914179717,-2.600874001381116
v_subj(friend_friend).6,-2.7554017045325816,-2.9277252726524816,-2.5769651521920203
v_subj(friend_friend).7,-2.7729461175764865,-2.9555919124355565,-2.6062215280186285
v_subj(friend_friend).8,-2.786632390099896,-2.9767536522710816,-2.623241488695134
v_subj(friend_friend).9,-2.7545992635054173,-2.9195647984491737,-2.5850216310346497
v_subj(friend_friend).10,-2.8034724706378578,-3.009725081831197,-2.6464443930958135
v_subj(friend_friend).11,-2.775677446361246,-2.9588853905790486,-2.613255210449275
v_subj(friend_friend).12,-2.7299023709357693,-2.8890675061115556,-2.5387328187898497
v_subj(friend_friend).13,-2.7791408287157378,-2.9606967289309396,-2.6170871106271454
v_subj(friend_friend).14,-2.756422667273292,-2.925051713753889,-2.5765599467600118
v_subj(friend_friend).15,-2.7620874041617727,-2.9378612798746815,-2.5882342259593294
v_subj(friend_friend).16,-2.7814762995811706,-2.9736475369344975,-2.617413129553252
v_subj(friend_friend).17,-2.7511169182364577,-2.9230360755892324,-2.573445084271677
v_subj(friend_friend).18,-2.740889135153902,-2.904508931706247,-2.556506559735603
v_subj(friend_friend).19,-2.752882010028964,-2.9244027482973745,-2.572119395467811
v_subj(friend_friend).20,-2.795244286641518,-2.9939108708875746,-2.632515696475931
v_subj(friend_friend).21,-2.7660129782433622,-2.9370952924070997,-2.5997100127370825
v_subj(friend_friend).22,-2.727406465957093,-2.8817100008762377,-2.534916902534249
v_subj(friend_friend).23,-2.7447684196594446,-2.908540023832222,-2.570522751148649
v_subj(friend_friend).24,-2.7601612621797758,-2.931484986736989,-2.5887204990642045
v_subj(friend_friend).25,-2.751416090043237,-2.9167952277094464,-2.5743100357823465
v_subj(friend_friend).26,-2.754095880248347,-2.922331795773419,-2.5830210850359507
v_subj(friend_friend).27,-2.7279213813638035,-2.8897381742980333,-2.534721809456333
v_subj(friend_friend).28,-2.756121447751025,-2.9241407698441613,-2.5865222568508655
v_subj(friend_friend).29,-2.7616132174717474,-2.936968537331506,-2.595808802976923
v_subj(friend_friend).30,-2.7552797364355635,-2.924833100928117,-2.5809013809273478
v_subj(friend_friend).31,-2.7527568076415685,-2.918075491789169,-2.5812729698738797
v_subj(friend_self).0,3.1555432104521,2.9831721667583624,3.299436545020555
v_subj(friend_self).1,3.1610831948602143,2.9961212087345346,3.308098452994428
v_subj(friend_self).2,3.206947172110447,3.0523322510094824,3.365509077786946
v_subj(friend_self).3,3.226144796850583,3.067433053013955,3.407000864167754
v_subj(friend_self).4,3.2141863131568815,3.0587744927699583,3.384287960515944
v_subj(friend_self).5,3.223546007032532,3.067948763614039,3.3958940992561173
v_subj(friend_self).6,3.2067263850015855,3.0550874040594116,3.362285241869081
v_subj(friend_self).7,3.1473874675539584,2.964944125301108,3.293313724078002
v_subj(friend_self).8,3.1851402221525236,3.0275870040539927,3.338664194004387
v_subj(friend_self).9,3.2208510263774897,3.0660897462592183,3.3940988268162875
v_subj(friend_self).10,3.244260895192777,3.078787606364586,3.428468756454307
v_subj(friend_self).11,3.2470638287845914,3.083713897353465,3.4379164139682397
v_subj(friend_self).12,3.1795455775171324,3.028358578939487,3.323576927301482
v_subj(friend_self).13,3.2324396860281857,3.071799615119109,3.4101115994666333
v_subj(friend_self).14,3.2163673258730854,3.0625407030971252,3.3735098998864905
v_subj(friend_self).15,3.1564550226779184,2.986311739047871,3.3013212938079315
v_subj(friend_self).16,3.2284865787383006,3.070197298406611,3.4109651138926687
v_subj(friend_self).17,3.1828010956997184,3.031393982109008,3.3325174512894677
v_subj(friend_self).18,3.210494960765455,3.0550660427317053,3.371883391735814
v_subj(friend_self).19,3.2216657990912623,3.0656426035513906,3.396043303768371
v_subj(friend_self).20,3.1835066535753405,3.0282065803036597,3.3332439670575393
v_subj(friend_self).21,3.175328316009182,3.0138319041718433,3.3251413002461825
v_subj(friend_self).22,3.199884370741462,3.0510210767724355,3.3566245427995116
v_subj(friend_self).23,3.1749680665752336,3.012692867662857,3.3214134816225886
v_subj(friend_self).24,3.2260663691422296,3.0699660616678734,3.396196074578274
v_subj(friend_self).25,3.224461679862821,3.0637354745698375,3.398787055201334
v_subj(friend_self).26,3.2357358029835095,3.070235691664129,3.420407166838808
v_subj(friend_self).27,3.2347939100228795,3.0714202613523147,3.417221088486498
v_subj(friend_self).28,3.207399606008721,3.0563473485019927,3.369085038242173
v_subj(friend_self).29,3.2022432905629676,3.0521634274863825,3.3566755806919293
v_subj(friend_self).30,3.211341241344357,3.0559908583592468,3.374549264560705
v_subj(friend_self).31,3.2007576388616537,3.048488212756361,3.354633500981901
v_subj(self_friend).0,-3.0965367808930004,-3.2370414193132993,-2.928841748781725
v_subj(self_friend).1,-3.12293965683146,-3.275910038177464,-2.9701891133448197
v_subj(self_friend).2,-3.1406865281180822,-3.306564086060504,-2.9973772627237727
v_subj(self_friend).3,-3.149579904192888,-3.3130806171803933,-3.015269059800211
v_subj(self_friend).4,-3.106572946131002,-3.251628077339995,-2.945790778776268
v_subj(self_friend).5,-3.1480913629858,-3.31620655876262,-3.008319618818645
v_subj(self_friend).6,-3.1248623424478428,-3.276766591481222,-2.976226304255219
v_subj(self_friend).7,-3.14993706539259,-3.315993469427959,-3.0067032771269155
v_subj(self_friend).8,-3.1233710431772583,-3.2764549479562834,-2.9677264574216458
v_subj(self_friend).9,-3.1162738440826225,-3.268563866325487,-2.9552541169523923
v_subj(self_friend).10,-3.1182879521375657,-3.2708884128658173,-2.9611151588871407
v_subj(self_friend).11,-3.1289086573563987,-3.283837223392102,-2.982206840465381
v_subj(self_friend).12,-3.173935539706183,-3.358423669549069,-3.0339880557680723
v_subj(self_friend).13,-3.167013026693757,-3.3478787821885323,-3.029567048824359
v_subj(self_friend).14,-3.1536918909118286,-3.320672061585956,-3.011909583692776
v_subj(self_friend).15,-3.0969348277356206,-3.246986974000118,-2.925060612838939
v_subj(self_friend).16,-3.161942724988135,-3.337653727866323,-3.0237738493712154
v_subj(self_friend).17,-3.110175317149745,-3.260760785829856,-2.943938911183175
v_subj(self_friend).18,-3.1506577916729817,-3.316769221783857,-3.0140509561945312
v_subj(self_friend).19,-3.14655355337281,-3.312562185916557,-3.0034945753280864
v_subj(self_friend).20,-3.137383447706473,-3.3028433497035103,-2.9919793021945256
v_subj(self_friend).21,-3.178641994890233,-3.3689308436443097,-3.042240223462643
v_subj(self_friend).22,-3.1259585796036142,-3.281039401430871,-2.9788603980736976
v_subj(self_friend).23,-3.1326626512267173,-3.2924490184002355,-2.9807821815739883
v_subj(self_friend).24,-3.1640915241191534,-3.3367750620598615,-3.0266411254607384
v_subj(self_friend).25,-3.093279433060144,-3.2381919977159512,-2.924131477551888
v_subj(self_friend).26,-3.0951488190805163,-3.2387894709444023,-2.9275777964292797
v_subj(self_friend).27,-3.1218162327156596,-3.273688132090917,-2.9683088284962436
v_subj(self_friend).28,-3.170982384845186,-3.3483928579256403,-3.0338867862623253
v_subj(self_friend).29,-3.136345923524866,-3.30027276065757,-2.989201141079109
v_subj(self_friend).30,-3.1580494354306965,-3.3277242708521313,-3.02277833336049
v_subj(self_friend).31,-3.1286856692998777,-3.2857496803523705,-2.9810114377748893
v_subj(self_self).0,2.6931001985743044,2.5208755872966253,2.876819389339877
v_subj(self_self).1,2.650783365476815,2.458991281180713,2.812419173444986
v_subj(self_self).2,2.6832293013564446,2.5058441775069213,2.8600441773634153
v_subj(self_self).3,2.6854049819317116,2.5089322095316824,2.8678296186748335
v_subj(self_self).4,2.676628675654562,2.502725377210031,2.8473631417043417
v_subj(self_self).5,2.6757528919063627,2.5003803482488145,2.844430927058557
v_subj(self_self).6,2.684074489848095,2.5097177504710375,2.8587614585507755
v_subj(self_self).7,2.6570365323828224,2.474595794506223,2.8184394630498515
v_subj(self_self).8,2.6531920597641436,2.4617910671299774,2.818077911949371
v_subj(self_self).9,2.6446506402328547,2.4522885446169918,2.8039164721108807
v_subj(self_self).10,2.6942293581993333,2.5238909247437533,2.8773937350133534
v_subj(self_self).11,2.658009802790513,2.4743287887376146,2.8203107758461496
v_subj(self_self).12,2.6428324801025638,2.4429484513032653,2.803599585466307
v_subj(self_self).13,2.6581931855259926,2.4713297166364856,2.824364240106301
v_subj(self_self).14,2.665202052760557,2.4834088852557406,2.8289557839033126
v_subj(self_self).15,2.696388906698702,2.5258186397920785,2.8806565307937895
v_subj(self_self).16,2.6801776485515427,2.501635189655755,2.8590596748562866
v_subj(self_self).17,2.6656767926807916,2.4856458969404844,2.8296423037148677
v_subj(self_self).18,2.665853723393491,2.478360161101587,2.829003287702216
v_subj(self_self).19,2.6601799071021794,2.480187342058209,2.824938187214423
v_subj(self_self).20,2.6545390538848177,2.4627041268285614,2.8177676041042017
v_subj(self_self).21,2.664986991455364,2.4824514932973645,2.8336634296586283
v_subj(self_self).22,2.663333747166066,2.484917549351164,2.8248765807833047
v_subj(self_self).23,2.6894080159860736,2.5161580854908436,2.8641242513863863
v_subj(self_self).24,2.6502001773662847,2.457668190155163,2.81167609442943
v_subj(self_self).25,2.657246905416097,2.464515617619306,2.8212793925433277
v_subj(self_self).26,2.6952728861994237,2.5252446913723223,2.878310792978427
v_subj(self_self).27,2.6846187891780624,2.5107859110823303,2.861685327222661
v_subj(self_self).28,2.6515864630957116,2.4640193336133356,2.814200260947585
v_subj(self_self).29,2.6833913867916124,2.5107347580615373,2.8588455953022427
v_subj(self_self).30,2.6756147183533185,2.4979707254459216,2.845457551544189
v_subj(self_self).31,2.681389557782022,2.505404734050873,2.8584383614370297
t,0.20114472819762877,0.19312283811452544,0.20992785841996134
t_std,0.0233271593662598,0.017847232857996064,0.030753075749741836
t_subj.0,0.21194238285012934,0.2030563292293694,0.22023703268163672
t_subj.1,0.21096933966098735,0.20208010250905795,0.21979759954303127
t_subj.2,0.20519897604503043,0.19643630409918722,0.21382434098402883
t_subj.3,0.19817827026329624,0.1894102768199906,0.20680250663856825
t_subj.4,0.22842397256818922,0.21874155725417352,0.23926235266381912
t_subj.5,0.19750222446556406,0.18843125294501237,0.2059072388312186
t_subj.6,0.15915309594877822,0.15075489562839112,0.1670870607375307
t_subj.7,0.22724793289700287,0.21823169754953,0.2355924175229069
t_subj.8,0.16979735999601892,0.16125746121888188,0.17820233638349164
t_subj.9,0.24022449079022096,0.23109040879278941,0.24937458524428416
t_subj.10,0.19731600907357638,0.18852727497284238,0.20540633100980435
t_subj.11,0.20844292395934533,0.19975769085272785,0.21664160061451254
t_subj.12,0.2042135438503794,0.1953741200043358,0.21300687129288787
t_subj.13,0.1870837349819777,0.17851850154171048,0.19534252055082774
t_subj.14,0.20082368719308144,0.19203991652364374,0.20950130238834017
t_subj.15,0.22202562094077796,0.21307333214708712,0.2303173099560972
t_subj.16,0.17918733419278227,0.17058167983423556,0.18767011744253728
t_subj.17,0.2147022641200136,0.20555807536603635,0.2229408406020021
t_subj.18,0.2124122705247396,0.20392189497988367,0.22036281170565408
t_subj.19,0.18018278757227724,0.17153454761086148,0.18851499192214147
t_subj.20,0.21686635085886657,0.2077354304380222,0.2258552958134688
t_subj.21,0.21251965337703885,0.20363421636372106,0.22073555496621752
t_subj.22,0.1965023721711603,0.18771191229737083,0.2048356942877371
t_subj.23,0.18866316363890462,0.18022906420490425,0.1968167664668322
t_subj.24,0.20704687614889808,0.19843823950459305,0.21559782337657968
t_subj.25,0.2120129675952292,0.20307575782273168,0.22037293299293037
t_subj.26,0.2184367785310559,0.2093473599924248,0.22686696685851104
t_subj.27,0.22860504192561576,0.21627317312964445,0.23835247744522853
t_subj.28,0.18734509654144857,0.1782278475200734,0.19579790758848645
t_subj.29,0.16024847556863966,0.15194467797251868,0.16825504234164704
t_subj.30,0.15092294878786275,0.1425011754866839,0.15886310223397743
t_subj.31,0.19250367940020335,0.1833046901032341,0.20264949910566998
z(friend),0.5606017253667644,0.5517470090590738,0.5711123294437632
z(self),0.48103869894912915,0.47237168762379667,0.49364735560465584
z_std,0.018548791319762586,0.00023696930134735274,0.04719903659831492
z_subj(friend).0,0.5610626374054508,0.547530265314436,0.5762378030957604
z_subj(friend).1,0.5620109206588686,0.5494731146294901,0.5781106714815893
z_subj(friend).2,0.5601302885274305,0.5456906506530246,0.574509096538124
z_subj(friend).3,0.5596786327296933,0.5454630541683724,0.5731784305524144
z_subj(friend).4,0.5604536812102011,0.546549569879812,0.574464503082199
z_subj(friend).5,0.5605060481257957,0.5468580423419565,0.5748320047702329
z_subj(friend).6,0.5614110612504039,0.5484103039706315,0.5770308919819208
z_subj(friend).7,0.5589714378624299,0.5433208357656013,0.5730294685988001
z_subj(friend).8,0.5582051608279177,0.5422159374352061,0.5711972511596557
z_subj(friend).9,0.560420235372948,0.546670296109869,0.574543928176665
z_subj(friend).10,0.5600678032988409,0.5461216769692582,0.5743509195098686
z_subj(friend).11,0.561215985927102,0.5482859165895804,0.5760680620362512
z_subj(friend).12,0.5614925419740595,0.548670379321845,0.5770339283607925
z_subj(friend).13,0.5606332947372508,0.5464370505878895,0.5753203752672786
z_subj(friend).14,0.559990076337951,0.5455096799542382,0.5741289426384577
z_subj(friend).15,0.55832710217069,0.5417310531024604,0.5713195745179153
z_subj(friend).16,0.5600290510964473,0.5454359712879933,0.5738770608535407
z_subj(friend).17,0.5616146442176648,0.5487211622680895,0.5771703273786714
z_subj(friend).18,0.5613022939193855,0.5482304766580134,0.5769334859160485
z_subj(friend).19,0.5598920554591417,0.5452361824378413,0.574196829249176
z_subj(friend).20,0.557103218171829,0.5386414070269728,0.5700452475936181
z_subj(friend).21,0.5586025650976775,0.5429454701413435,0.5718144846132034
z_subj(friend).22,0.5626683429319657,0.5499898186331101,0.5799799598024519
z_subj(friend).23,0.5596772326664302,0.5451252088105807,0.5735162044864153
z_subj(friend).24,0.5614027435444515,0.547905400537543,0.5770079154192354
z_subj(friend).25,0.5624182351128206,0.549816797433215,0.5792033339237543
z_subj(friend).26,0.5607297304362231,0.547154033687297,0.5755724305861218
z_subj(friend).27,0.563197993316622,0.5511349320664798,0.5808603774773892
z_subj(friend).28,0.5613008142186923,0.5480271927053353,0.5764155118605914
z_subj(friend).29,0.5610851058193599,0.5480672064993635,0.5765410584713653
z_subj(friend).30,0.5618645630822108,0.5488082356699218,0.5774622435865563
z_subj(friend).31,0.5610638846398885,0.5479609968964236,0.5757766570186799
z_subj(self).0,0.48388167226615325,0.4716044217254411,0.502042531753708
z_subj(self).1,0.4808818459084061,0.4675608501488941,0.4970036198091788
z_subj(self).2,0.48075576579855595,0.4669241754540165,0.496688760252752
z_subj(self).3,0.4800008580325679,0.46556231868406955,0.49575347287902727
z_subj(self).4,0.48340813026984597,0.47073256601821445,0.5010059438610314
z_subj(self).5,0.4820861778965654,0.4690865251661624,0.4990687242002396
z_subj(self).6,0.48322832022839673,0.47081913874399567,0.5003566650248991
z_subj(self).7,0.4808047987070808,0.46683514288297806,0.49658911259856
z_subj(self).8,0.480341606268396,0.4657738622895566,0.49600862447231486
z_subj(self).9,0.48043607233900065,0.4664035475689084,0.496034385520959
z_subj(self).10,0.4832529807305941,0.47073216779543264,0.5005606959246921
z_subj(self).11,0.4822387538936858,0.4699258871869461,0.4988877191341461
z_subj(self).12,0.4760673034602678,0.45515016300173855,0.4927043184007089
z_subj(self).13,0.47929851314329236,0.4638145007362402,0.49487906641616747
z_subj(self).14,0.481186484380511,0.46784749661743996,0.4968877617758114
z_subj(self).15,0.48270147439840183,0.4704866844927545,0.49953565176251774
z_subj(self).16,0.47898521222074697,0.4635824853063383,0.4949469082153189
z_subj(self).17,0.482610120731636,0.47017852444396574,0.5002839559757097
z_subj(self).18,0.48042778178634854,0.46599193718850657,0.4961048443372269
z_subj(self).19,0.4788633824226293,0.4630258742672444,0.4945021860649454
z_subj(self).20,0.48222117305916457,0.4698003241198949,0.4985459258907716
z_subj(self).21,0.47893162503500813,0.46299664027827675,0.49448001870200897
z_subj(self).22,0.4802913905883255,0.4657524166038704,0.4964874456957723
z_subj(self).23,0.4807570617381965,0.46692133427999793,0.4962501045414844
z_subj(self).24,0.4791390481886745,0.46308442822556467,0.49481761773101796
z_subj(self).25,0.4823696889223043,0.47009884975294125,0.49882021139192634
z_subj(self).26,0.48194625743067687,0.4691914799560521,0.4986206985193824
z_subj(self).27,0.4819535630289685,0.46904362949154915,0.49880817487938184
z_subj(self).28,0.4788467142091069,0.4625025813632902,0.4943550509772515
z_subj(self).29,0.48241845411199674,0.47004354664047987,0.49888422035862645
z_subj(self).30,0.480738573699547,0.46641652233771697,0.49648080430248037
z_subj(self).31,0.4823450950647094,0.46985313688630553,0.498498891555128
