,Mean,2.5q,97.5q
a(equal),1.3918039386916818,1.368898930584217,1.415591949945365
a(friend),1.3152370226026329,1.2900971479150103,1.3416323904798584
a(self),1.3582416206327705,1.3325293690947548,1.3846444975129968
a_std,0.04760003609490944,0.032354950472026495,0.06316441437302113
a_subj(equal).0,1.4278202993824232,1.3607452838273817,1.4982012915254306
a_subj(equal).1,1.3482996260228453,1.278934105431202,1.4153566406605875
a_subj(equal).2,1.4279530185024034,1.3623635796788014,1.4970821846834863
a_subj(equal).3,1.4155439174921791,1.3519653094824302,1.484978978480675
a_subj(equal).4,1.3618296310554274,1.2968826990694755,1.4279128066361548
a_subj(equal).5,1.3767556201147226,1.3101380987877058,1.4437432997768964
a_subj(equal).6,1.3789663965249914,1.3140976406129092,1.4450159928084192
a_subj(equal).7,1.4064635696004582,1.3420128758389043,1.4737622083909496
a_subj(equal).8,1.4133994964302377,1.348258444040025,1.4822726032242945
a_subj(equal).9,1.3771461664358997,1.3135968548948398,1.4424523712122093
a_subj(equal).10,1.4184288617451815,1.3525621823883156,1.4881746612025006
a_subj(equal).11,1.4343063021581006,1.3656112156746685,1.5091214651173361
a_subj(equal).12,1.4056273013298546,1.337813313572877,1.474599476726606
a_subj(equal).13,1.3767899168688524,1.309902524177672,1.4436675643147803
a_subj(equal).14,1.3684662313830944,1.3029853072569393,1.4331975215021986
a_subj(equal).15,1.4273070085177757,1.3615406683100388,1.497650331539174
a_subj(equal).16,1.400085852820261,1.3349053968710074,1.4677699710463492
a_subj(equal).17,1.4216984074260675,1.3543289666237703,1.4906657669736816
a_subj(equal).18,1.4170059847366983,1.3497848355828759,1.4863201360481195
a_subj(equal).19,1.3529561253738913,1.2868445120456506,1.4184724495728271
a_subj(equal).20,1.3733141879691964,1.3091022447986869,1.4378590026898634
a_subj(equal).21,1.3850117127096062,1.3180058870920706,1.4521588908579461
a_subj(equal).22,1.3240126431025692,1.2568282558019441,1.3883449246466506
a_subj(equal).23,1.332940514311579,1.2661285125175326,1.3990576839046736
a_subj(equal).24,1.409822898568176,1.3453694240165996,1.4791592015813568
a_subj(equal).25,1.369494035071078,1.3032788284899777,1.4351148406152925
a_subj(equal).26,1.4514764187611933,1.3818041041361369,1.5286787907085675
a_subj(equal).27,1.4115083381193123,1.3459997697406834,1.4786291006802341
a_subj(equal).28,1.3376388625262698,1.27266981018199,1.401764300350648
a_subj(equal).29,1.387603511620543,1.3228133477944128,1.4551142029813051
a_subj(equal).30,1.4154285324570106,1.348581534538,1.4868543109986971
a_subj(equal).31,1.336104709119748,1.2695725281021866,1.4009147552476096
a_subj(equal).32,1.3639814929073841,1.2981280023391524,1.4287419903229357
a_subj(equal).33,1.3884106005969445,1.3231221575137173,1.4558808849812523
a_subj(equal).34,1.3932893186887298,1.3289113526357976,1.4596188545364828
a_subj(equal).35,1.4754910743808136,1.406873859047703,1.55356483832598
a_subj(friend).0,1.3434715692503665,1.2724618484889116,1.4193957237639432
a_subj(friend).1,1.2698284384015752,1.2001982848278014,1.3392128659471745
a_subj(friend).2,1.3440658743446139,1.2757036285633028,1.4182488439083631
a_subj(friend).3,1.3399320639415484,1.2708065381747797,1.4120618210883575
a_subj(friend).4,1.332679532406621,1.2652789362731687,1.406098071570743
a_subj(friend).5,1.3087695345330557,1.2404067630116475,1.3799278447210988
a_subj(friend).6,1.3008852511039104,1.231603734616746,1.3708997321975955
a_subj(friend).7,1.3125107127595799,1.242925161358066,1.3847647482868894
a_subj(friend).8,1.357740066571874,1.288119271903723,1.4357477416548423
a_subj(friend).9,1.2874866747844136,1.2176230842644202,1.3562374431968707
a_subj(friend).10,1.3158304075965164,1.245072671788409,1.390912062743182
a_subj(friend).11,1.3358366623198137,1.2631802403261159,1.4120547372170704
a_subj(friend).12,1.2955446993940696,1.2269147997537833,1.365335204198124
a_subj(friend).13,1.315499309680471,1.2443914904626392,1.3875879783037202
a_subj(friend).14,1.2970717085325774,1.2292132226904766,1.3650393791426325
a_subj(friend).15,1.3816217455259667,1.3089140442703167,1.4623902340998107
a_subj(friend).16,1.3273181368975768,1.2580829481146025,1.4005904921679722
a_subj(friend).17,1.354119323983426,1.2824960810386372,1.4314062340680387
a_subj(friend).18,1.2820128290706554,1.2119222939755794,1.3516741455794101
a_subj(friend).19,1.2874414404325887,1.2153157940350046,1.3601026983050062
a_subj(friend).20,1.2987132676418425,1.2299261654117677,1.369271239299558
a_subj(friend).21,1.3151292076216223,1.2460130655603963,1.388144937578183
a_subj(friend).22,1.2686908951502789,1.1977102308832466,1.3398564982632981
a_subj(friend).23,1.3579513596709072,1.2874266949210753,1.434618337409003
a_subj(friend).24,1.3385604452315412,1.2699566353095366,1.4100754080731772
a_subj(friend).25,1.2631300745425837,1.1915470126141359,1.3328420470990294
a_subj(friend).26,1.339300760051266,1.269558583490857,1.4140912839270867
a_subj(friend).27,1.3004111663560198,1.2295063768305885,1.3718592346630427
a_subj(friend).28,1.2370178724712766,1.1639072560944166,1.3083981067145465
a_subj(friend).29,1.3249199021810814,1.256371837295304,1.3986364284237036
a_subj(friend).30,1.3336931251755682,1.263669254817917,1.4092508644239572
a_subj(friend).31,1.2720178326063798,1.2018404018611668,1.3420194007422426
a_subj(friend).32,1.2874926077709752,1.219401039951121,1.3583187658833307
a_subj(friend).33,1.3356617080507585,1.2682732284292655,1.4089096204375051
a_subj(friend).34,1.331447781478401,1.2633093780528344,1.4023323504277765
a_subj(friend).35,1.3551802825761887,1.2828975120745438,1.4344385498574561
a_subj(self).0,1.3399110139155848,1.2726857648420338,1.4093478084982607
a_subj(self).1,1.3284166672687565,1.2597340027729145,1.3963381773413657
a_subj(self).2,1.3971943076160156,1.3290276232537845,1.4722691510130095
a_subj(self).3,1.3719771880942058,1.3057287777651925,1.445041361959868
a_subj(self).4,1.358340026768852,1.2904258950333223,1.427166711650113
a_subj(self).5,1.3431594559619138,1.2712435430258835,1.4130692009790555
a_subj(self).6,1.3689158967196766,1.3023685040263244,1.4373267673519217
a_subj(self).7,1.3609067764902691,1.2949765918821854,1.4291018995054905
a_subj(self).8,1.3709490946180218,1.301524621693802,1.4435373469738138
a_subj(self).9,1.3761883892031772,1.3081677545957415,1.4442709985854794
a_subj(self).10,1.3959304068928413,1.3254321637679596,1.470139905682324
a_subj(self).11,1.3950031604125366,1.3169889453132944,1.4796941208552497
a_subj(self).12,1.3476957549091915,1.282533652734798,1.416612250957083
a_subj(self).13,1.3417897368294947,1.2706498458344024,1.412964011571856
a_subj(self).14,1.2951884170043957,1.2247559087467128,1.364089891445912
a_subj(self).15,1.3729634530719967,1.30210378373878,1.4500573747338183
a_subj(self).16,1.3593886978205207,1.2928014778647683,1.4293480989672362
a_subj(self).17,1.360376283713283,1.2939760126432067,1.4294950668649693
a_subj(self).18,1.3920578427535928,1.3205140350354148,1.4703648993369494
a_subj(self).19,1.3422665806049123,1.2728778620672125,1.4108706208679438
a_subj(self).20,1.3328737276164127,1.2651909083925175,1.3997864385955476
a_subj(self).21,1.3538339324265194,1.282343637487656,1.4262582605334657
a_subj(self).22,1.2992441354106232,1.2320048534832864,1.3674808594331034
a_subj(self).23,1.276441066499964,1.206279686380026,1.3444980779523337
a_subj(self).24,1.3598119258108274,1.2897382288213826,1.4313881246147924
a_subj(self).25,1.3762139636049804,1.307267661634255,1.4490596515868333
a_subj(self).26,1.4274716549631148,1.3531335799719075,1.5095879904861298
a_subj(self).27,1.3471743936799832,1.2764355673246521,1.4162258992369234
a_subj(self).28,1.3317415285862406,1.2619228914244014,1.3988080666563363
a_subj(self).29,1.3717168868888046,1.304479143019268,1.4394737237701731
a_subj(self).30,1.3928395372686821,1.3217775518859685,1.4662828663432292
a_subj(self).31,1.345575933766209,1.2782604461144944,1.4144248142633005
a_subj(self).32,1.37422558143383,1.3070413346781906,1.446427192698962
a_subj(self).33,1.3712336205964952,1.3031036670465328,1.4445562999435588
a_subj(self).34,1.3331203557406068,1.2642681202312331,1.4021205893293358
a_subj(self).35,1.3813396832356108,1.3135287548092613,1.4549802537009067
v(equal_friend),-1.6354934098532365,-1.687988767175747,-1.5672969306736562
v(equal_self),1.8755091837929645,1.826228004550215,1.9420076268319613
v(friend_friend),-2.1552591518639255,-2.225832061617353,-2.091083684920973
v(friend_self),2.595406392115352,2.502444302645585,2.690160897859846
v(self_friend),-1.8267745245755298,-1.913611538777115,-1.7548517454267674
v(self_self),2.5593626196091837,2.497063393279758,2.634193010199029
v_std,0.020291436304293264,0.0008692090577248434,0.06137090825072803
v_subj(equal_friend).0,-1.6316794010190057,-1.7044187770267598,-1.534407598120518
v_subj(equal_friend).1,-1.6384681474914669,-1.7157890265026223,-1.549598503154906
v_subj(equal_friend).2,-1.6389791138252325,-1.7195136641960767,-1.552481459320541
v_subj(equal_friend).3,-1.6366052842167615,-1.7113918877247265,-1.5474896975530472
v_subj(equal_friend).4,-1.6355164409124407,-1.7104185771625682,-1.5408818280121361
v_subj(equal_friend).5,-1.6357524397966638,-1.710575842376682,-1.5457752477543316
v_subj(equal_friend).6,-1.634537719009517,-1.7087813955407771,-1.5425105054528188
v_subj(equal_friend).7,-1.634197412958002,-1.7057486951966303,-1.5381997729648371
v_subj(equal_friend).8,-1.6319052617607699,-1.702614177929263,-1.5350586622693503
v_subj(equal_friend).9,-1.6445887426644372,-1.736955419171632,-1.5585147970913416
v_subj(equal_friend).10,-1.6286000660636466,-1.6932810292631073,-1.5256562543236776
v_subj(equal_friend).11,-1.6345390469941656,-1.7081712066434878,-1.5437325202032315
v_subj(equal_friend).12,-1.6343532558580987,-1.7077782597264037,-1.5401921399271103
v_subj(equal_friend).13,-1.6357182835978092,-1.7105895666556912,-1.5429475387214295
v_subj(equal_friend).14,-1.6384521670286818,-1.7197663884998238,-1.550816503834575
v_subj(equal_friend).15,-1.6310912974122909,-1.6999293525501997,-1.528942418073975
v_subj(equal_friend).16,-1.6362448624736905,-1.7122156073730517,-1.5452160024366837
v_subj(equal_friend).17,-1.637513155106725,-1.716235869196426,-1.5441464832937768
v_subj(equal_friend).18,-1.6373324337299733,-1.7135918682137907,-1.547658632673206
v_subj(equal_friend).19,-1.6362822051571249,-1.7097107208790554,-1.545345120821903
v_subj(equal_friend).20,-1.6382958120162319,-1.7181706835125934,-1.548080694358943
v_subj(equal_friend).21,-1.6349403089189491,-1.7096141023051434,-1.5409139653035147
v_subj(equal_friend).22,-1.6386788684547262,-1.7205725434334636,-1.550872360664366
v_subj(equal_friend).23,-1.6355949641876075,-1.7124099848987566,-1.5444852084887526
v_subj(equal_friend).24,-1.632201934087038,-1.705179172492832,-1.5335435134419173
v_subj(equal_friend).25,-1.6276427756138134,-1.69359928514878,-1.525531658650501
v_subj(equal_friend).26,-1.630244273530455,-1.6977176687473903,-1.5315915850438366
v_subj(equal_friend).27,-1.6405833952589053,-1.724405944129372,-1.5533958219600144
v_subj(equal_friend).28,-1.6378020962672741,-1.7154165420535417,-1.5514978671273987
v_subj(equal_friend).29,-1.6347692175098627,-1.7094014790870635,-1.542320869355478
v_subj(equal_friend).30,-1.6364695938084244,-1.7105303535180867,-1.5469328143691825
v_subj(equal_friend).31,-1.6319314406516794,-1.7003250845640674,-1.5372302662515627
v_subj(equal_friend).32,-1.6372765440089738,-1.7148704370823649,-1.5491707446266683
v_subj(equal_friend).33,-1.6324659118684672,-1.7004360961649305,-1.5371809885306589
v_subj(equal_friend).34,-1.6421741355133457,-1.7315358636633065,-1.5583525726562104
v_subj(equal_friend).35,-1.6345019256098008,-1.7088209253361042,-1.5426635417213292
v_subj(equal_self).0,1.8682692268417862,1.7818278990369907,1.9487589089585073
v_subj(equal_self).1,1.8761132064057533,1.8028929284477002,1.963696473196094
v_subj(equal_self).2,1.8706865034393838,1.7918830454739967,1.9542525200061263
v_subj(equal_self).3,1.8775584781126369,1.8062572477098482,1.9696747627271787
v_subj(equal_self).4,1.8800502752112762,1.8113668432966217,1.9774333442592824
v_subj(equal_self).5,1.875712938361139,1.8038068411164567,1.963240747215156
v_subj(equal_self).6,1.877094626973945,1.80443655067468,1.9685352407957806
v_subj(equal_self).7,1.8753148684583765,1.8026604538295228,1.9648753961182996
v_subj(equal_self).8,1.87553757116401,1.804361091824618,1.9631314798936423
v_subj(equal_self).9,1.8789825548532717,1.810896375275479,1.9705476335074312
v_subj(equal_self).10,1.879603310898251,1.8115342346872498,1.9779898712869508
