,Mean,2.5q,97.5q
t_subj.33,0.22625134214302994,0.2142905835873385,0.2377161880736305
t_subj.34,0.2617595342468099,0.2470314268791961,0.2738279607267877
t_subj.35,0.3054446648518872,0.2917416894307685,0.31921213004985977
t_subj.36,0.25854252289164065,0.2425975860477192,0.27923446791965356
t_subj.37,0.29300551260079355,0.2763784548215182,0.30576816181470773
t_subj.38,0.26197070087057894,0.2508846414492512,0.271498512883178
t_subj.39,0.2488695809308566,0.23725647208952064,0.2600698987970947
t_subj.40,0.2445042598051678,0.23263062273500199,0.2548414516653744
t_subj.41,0.2587882595502929,0.24222096290237127,0.27468771629134275
t_subj.42,0.2897595708131712,0.276232417965421,0.3034968487854537
t_subj.43,0.24079451288582182,0.22891673467629206,0.2533806332883647
t_subj.44,0.23460387365071741,0.22313348045179612,0.24451442845958815
t_subj.45,0.2583248182575498,0.24681083208362925,0.2685087110839272
t_subj.46,0.2463491707101406,0.23087170896349815,0.26467342638082925
t_subj.47,0.26458982374472195,0.2530193096379774,0.2747917333357469
t_subj.48,0.28608635768799856,0.2744006338186202,0.29607471816912206
t_subj.49,0.25073113584035595,0.23891450198878544,0.2629572113528624
t_subj.50,0.28226024890348467,0.2713050816201671,0.2919793483898832
t_subj.51,0.23268230938231252,0.22099955630828916,0.2438460587838924
t_subj.52,0.23727034112382475,0.22693404004555773,0.24947473000127823
t_subj.53,0.2715782835336535,0.2608875024964387,0.28119248314951484
t_subj.54,0.2926328424399503,0.2814056038921488,0.30275352028300156
t_subj.55,0.24646203383036003,0.23369622330559342,0.2571375890429047
t_subj.56,0.30338467952873055,0.2915366150577911,0.31374367120830504
t_subj.57,0.2722013422487269,0.25775092286234313,0.2860524715465368
t_subj.58,0.2640001606560535,0.25257991166354204,0.2740071547058628
t_subj.59,0.26509288975026674,0.23692898432504383,0.28643177604685727
t_subj.60,0.2387883679355918,0.22685906335619835,0.24915997633783626
t_subj.61,0.26658864709177577,0.2553788278655913,0.27609176418977444
t_subj.62,0.29737304038123175,0.2861981496869312,0.30699754929553613
t_subj.63,0.288748740802421,0.2755200939671701,0.30026966081712736
t_subj.64,0.26848564837992556,0.24885576093449902,0.2838539365482008
t_subj.65,0.2660029616421803,0.24970347326583997,0.2776813295604006
t_subj.66,0.1870785465570566,0.1762520585957813,0.20017125936354352
t_subj.67,0.25535458012934303,0.24450318568769328,0.26581108077644316
t_subj.68,0.22469644391376614,0.2128025775081019,0.23463252622822703
t_subj.69,0.19709050427804153,0.18421452170106764,0.21022022757344824
z(equal),0.5093388446547598,0.5012020204217212,0.5183758417962125
z(none),0.5195591076743514,0.5113930884783175,0.5280882911350147
z_std,0.02698074666520437,0.0007992491050401557,0.0576585947206984
z_subj(equal).29,0.508051918170244,0.49162470741742964,0.523825745134855
z_subj(equal).30,0.5101706191815231,0.4939958548695225,0.5277503146761459
z_subj(equal).31,0.5121462599812027,0.49700540280362426,0.5309781132213162
z_subj(equal).32,0.509479371884334,0.4940429968673247,0.5259950563015003
z_subj(equal).34,0.5088360628877826,0.49243798179270054,0.5250224428338385
z_subj(equal).35,0.5097311431730778,0.49373481925597595,0.5274501289170959
z_subj(equal).36,0.5122812175618215,0.4970501215425395,0.5312700540049645
z_subj(equal).37,0.5061076364749125,0.4876167936019536,0.5209130802170662
z_subj(equal).38,0.5089441517196887,0.4926898295740398,0.5254924374892268
z_subj(equal).39,0.5095764240759237,0.4934886221690521,0.5266958690133705
z_subj(equal).40,0.5107177673365502,0.49540100576253904,0.5283298072628988
z_subj(equal).41,0.5105308704543577,0.49507370780191656,0.5283563733812984
