,Mean,2.5q,97.5q
a(equal),1.2798560037571334,1.2555749968741399,1.3035050837349664
a(friend),1.2510071504596925,1.2251852200992344,1.2775627454451337
a(self),1.301421966751165,1.2744206544924421,1.3291708874961796
a_std,0.057104639531552835,0.04286563657533102,0.07211724885658764
a_subj(equal).0,1.256736263303579,1.1901118507471566,1.3232818512582658
a_subj(equal).1,1.2951974479500439,1.2281125110128037,1.3647110484538516
a_subj(equal).2,1.289182107544433,1.219920374344026,1.3592642570896674
a_subj(equal).3,1.3176156415762899,1.250663215618121,1.3885729845556338
a_subj(equal).4,1.2690633893080514,1.201180308476113,1.339698215556919
a_subj(equal).5,1.2813507632201668,1.216716770683281,1.3471514013691055
a_subj(equal).6,1.2838234374389157,1.2173607972749134,1.3519278421123924
a_subj(equal).7,1.244784539511119,1.1810390971043536,1.3109294105071299
a_subj(equal).8,1.2275286363744236,1.161852801804133,1.2956584428376896
a_subj(equal).9,1.2609332099568074,1.1959293379404285,1.3267847450585002
a_subj(equal).10,1.272744629922671,1.2065757866154636,1.340712757004566
a_subj(equal).11,1.2403104370291715,1.1726616440124307,1.3101352327292208
a_subj(equal).12,1.3211830425875386,1.2527127775588516,1.39577929729547
a_subj(equal).13,1.255817780297279,1.1906459306251522,1.325453953085657
a_subj(equal).14,1.300901736013606,1.2360002680637647,1.3716806432975892
a_subj(equal).15,1.222506325040594,1.1580798320811392,1.287677540258541
a_subj(equal).16,1.230012832782023,1.1649951024012113,1.2961141456962888
a_subj(equal).17,1.2528890251812923,1.188293402390808,1.321446606266673
a_subj(equal).18,1.2889738765081926,1.2228180603331213,1.357835644836773
a_subj(equal).19,1.2765964148272937,1.2104304523798672,1.3461776190164878
a_subj(equal).20,1.2438186789101364,1.1770840983681077,1.3116124372544333
a_subj(equal).21,1.24952150148015,1.182633876692257,1.3178109773201436
a_subj(equal).22,1.293883220788752,1.2268246890850028,1.362698224817359
a_subj(equal).23,1.3432346286246628,1.273159709869531,1.4173197819689092
a_subj(equal).24,1.3343477941727386,1.265399642963775,1.4072029781177313
a_subj(equal).25,1.2957548817167461,1.2267241299339,1.3644316107248446
a_subj(equal).26,1.3221466639169803,1.254371136728388,1.3947736878741779
a_subj(equal).27,1.315378076082014,1.246840626611169,1.3861666278086926
a_subj(equal).28,1.4114235524186802,1.3350828782467548,1.4928059029361722
a_subj(equal).29,1.2676270307583895,1.2011020285207574,1.336346534586161
a_subj(equal).30,1.3291177988879617,1.2593890220603359,1.4034111248608645
a_subj(equal).31,1.1591852471783441,1.0923051921065163,1.2292934819955024
a_subj(equal).32,1.2442571123297832,1.1780403794701741,1.312961242608628
a_subj(equal).33,1.3137280509258809,1.2460439062262445,1.3856563921696166
a_subj(equal).34,1.2972340371831188,1.2299637116927962,1.3686381105769845
a_subj(equal).35,1.257464486549222,1.1935190366459483,1.324143464179651
a_subj(friend).0,1.2334657569538723,1.1669725640641033,1.3045246824213492
a_subj(friend).1,1.230268594982923,1.158879345027369,1.304060153026659
a_subj(friend).2,1.3233172355647915,1.2503291055979637,1.402123971195789
a_subj(friend).3,1.2027616620058366,1.136976749876077,1.2716336229682434
a_subj(friend).4,1.2540896044203462,1.1856650137637597,1.322120926017778
a_subj(friend).5,1.2684121139355966,1.19767220504422,1.343453889188709
a_subj(friend).6,1.2556329283347543,1.1840423767528485,1.3281325540429203
a_subj(friend).7,1.2558227506102735,1.1849890815089787,1.3286914821745681
a_subj(friend).8,1.248661368583015,1.1783536354529092,1.3209994612520384
a_subj(friend).9,1.2491872171458656,1.1820300092734843,1.3196209055522141
a_subj(friend).10,1.2520393264826182,1.1830423886172683,1.3228159924817213
a_subj(friend).11,1.3035019256709695,1.2311370407058198,1.381230170950423
a_subj(friend).12,1.2678052327641878,1.1979914304408363,1.3422519697725792
a_subj(friend).13,1.2310778615316822,1.1610709428350585,1.3043353899964094
a_subj(friend).14,1.243936300535812,1.1740979425576907,1.317479176080887
a_subj(friend).15,1.1809447923917908,1.1126927033876384,1.2499759375544208
a_subj(friend).16,1.2003905047688097,1.1336006773979175,1.2702579826561675
a_subj(friend).17,1.2419969837285316,1.1712384679351637,1.3133202908187356
a_subj(friend).18,1.2226134876152595,1.1531559980071486,1.294161359880592
a_subj(friend).19,1.276969987112049,1.2087090129935056,1.348514231791837
a_subj(friend).20,1.2736839468182193,1.2034956945014388,1.346965537384382
a_subj(friend).21,1.2082754046317796,1.1408079512734046,1.2787931196955267
a_subj(friend).22,1.2357616192082965,1.1684178725452754,1.3060412323242145
a_subj(friend).23,1.2549933464202692,1.1843106147105145,1.3261141091536177
a_subj(friend).24,1.2146619328415837,1.1424697982275505,1.2858727378212493
a_subj(friend).25,1.329081246357368,1.2578144295517286,1.407258869977246
a_subj(friend).26,1.2510206768061336,1.1829740016244896,1.3260089223813656
a_subj(friend).27,1.2838196618266375,1.2126614534802023,1.357763731682792
a_subj(friend).28,1.337074637873555,1.2589882994026718,1.41931222633629
a_subj(friend).29,1.2428141885487176,1.1729058084513653,1.3123530342079373
a_subj(friend).30,1.2924414394787198,1.217065025983747,1.370440078606872
a_subj(friend).31,1.2101608842137686,1.140675312475983,1.2806809335060692
