,Mean,2.5q,97.5q
a(equal),1.2330837745806376,1.2148705948679412,1.2523178858783877
a(none),1.4038530398760907,1.3807269224365657,1.4297502860429923
a_std,0.019056859259456008,0.0007002940750044631,0.04481583695373175
a_subj(equal).29,1.2198240996860563,1.1612470137179012,1.2588628783627704
a_subj(equal).30,1.235269585297534,1.1922063231232358,1.2827592539210786
a_subj(equal).31,1.2204812205193913,1.1652879833532308,1.258390645479294
a_subj(equal).32,1.2262994845553576,1.175659655555631,1.2669624826201993
a_subj(equal).34,1.243361375427769,1.2061098170799056,1.2999900659486712
a_subj(equal).35,1.2328517085876014,1.1892225431213825,1.27698054023752
a_subj(equal).36,1.241545175630843,1.2024677366506566,1.296624202491819
a_subj(equal).37,1.2359200707498503,1.193466142712095,1.2853183387150227
a_subj(equal).38,1.2149430172482305,1.149757325928226,1.2532851630983464
a_subj(equal).39,1.2451109801439333,1.2089073390431562,1.302021754020139
a_subj(equal).40,1.2335950251406747,1.190057561278255,1.2802003547994854
a_subj(equal).41,1.2210927351324172,1.165488623443804,1.2594395405440064
a_subj(equal).42,1.2407100271979798,1.2013723531097094,1.2942950293389042
a_subj(equal).43,1.2374488174415639,1.197430819435107,1.2857440906882742
a_subj(equal).45,1.2445137952064311,1.2090999929759478,1.3007811808847372
a_subj(equal).46,1.2344253382187358,1.1907861770063244,1.2824011214783493
a_subj(equal).47,1.2334057384239936,1.1885171680513589,1.2785591576938184
a_subj(equal).48,1.229678863403156,1.1800070911056673,1.2747588597013833
a_subj(equal).49,1.212235269052226,1.1460039398122446,1.252145447670398
a_subj(equal).50,1.2204154162625405,1.1650013763161944,1.2588230365494057
a_subj(equal).51,1.239955379359789,1.1993506059615993,1.2930307175947677
a_subj(equal).52,1.2316060633037151,1.1863820346960257,1.276159388049481
a_subj(equal).53,1.2401957970644297,1.200942054501083,1.2899927652220573
a_subj(equal).54,1.2348385513966977,1.1923146455386544,1.28116195544089
a_subj(equal).56,1.229867769768885,1.1845249411819574,1.2713880650648408
a_subj(equal).57,1.2344665940378647,1.1924739276261962,1.2800116056033195
a_subj(equal).58,1.2291656336081944,1.18184249796867,1.2714929373700647
a_subj(equal).59,1.2210472891815667,1.165529380639851,1.2582055446382383
a_subj(equal).60,1.2331356859505018,1.1887334140170593,1.2778600443996306
a_subj(equal).61,1.2330206009263474,1.190241514676963,1.2773214534898492
a_subj(equal).62,1.23514406820395,1.1903839178978997,1.2862627726223184
a_subj(equal).63,1.245397353779565,1.207675267637052,1.305034365559192
a_subj(equal).64,1.2317467645556928,1.1859801023582335,1.2775434100054774
a_subj(equal).65,1.2524331802067896,1.2156290942979748,1.319903923723521
a_subj(equal).67,1.2414485919714533,1.203461207695934,1.2970972406695513
a_subj(none).0,1.400465228528597,1.3518388822889227,1.4498591295815944
a_subj(none).1,1.4012974477019557,1.3539213842767854,1.4509785777235422
a_subj(none).2,1.3994342713662098,1.3494475576254912,1.4476647654877337
a_subj(none).3,1.4022535330451946,1.3543419670276995,1.4534957295828055
a_subj(none).4,1.4132628558383629,1.371817114404938,1.4749336792217826
a_subj(none).5,1.3904082104779192,1.3317214304722436,1.4348993233150267
a_subj(none).6,1.4121805266402057,1.3690110331309513,1.477153474027435
a_subj(none).7,1.4027276599617027,1.3556695605552007,1.4536768865632534
a_subj(none).8,1.3978985294796429,1.3461105740905424,1.4452631824012643
a_subj(none).9,1.4129159838425922,1.370567476682091,1.4753434875158393
a_subj(none).10,1.4085620764472804,1.3648447234492713,1.4647668703713417
a_subj(none).11,1.4076309870488422,1.3626742951743211,1.4644034236291616
a_subj(none).12,1.4079631708265175,1.3625942326540776,1.4669032456243993
a_subj(none).13,1.411398443295327,1.368646804041812,1.471037056052791
a_subj(none).14,1.4070768793329715,1.362012513197918,1.462452186016059
a_subj(none).15,1.4000358751637108,1.3519374168898222,1.447238738591345
a_subj(none).16,1.3925092254668092,1.3343749314099373,1.4369872228054779
a_subj(none).17,1.4139883305615104,1.3730121282940206,1.478350423585022
a_subj(none).18,1.3995150378949053,1.3471188881654563,1.4503940554510548
a_subj(none).19,1.39828503994582,1.3478003711427884,1.443736704388777
a_subj(none).20,1.396787699018355,1.3449016295575917,1.4431391585910485
a_subj(none).21,1.3965504279804517,1.3434444686400107,1.443073084858632
a_subj(none).22,1.4079360548790407,1.3648132196736569,1.4648694469007162
a_subj(none).23,1.4036711661934884,1.356919579816958,1.4546992765960545
a_subj(none).24,1.4153669621407095,1.3741252345988637,1.4807721135983871
a_subj(none).25,1.4005333837271794,1.3478597924241904,1.4512012138128831
a_subj(none).26,1.4062852107704182,1.3611222667048963,1.4628019850314806
a_subj(none).27,1.4113141444268908,1.3696868349286826,1.4708994636299413
a_subj(none).28,1.4027881510185074,1.356566883195871,1.4524834172872298
a_subj(none).33,1.4044391454709875,1.3578852549806697,1.456538083704217
a_subj(none).44,1.4027522305534141,1.3559961020073281,1.4523698017641673
a_subj(none).55,1.407121890917917,1.3629370263735652,1.4621272949904178
a_subj(none).66,1.396085247079494,1.34353220387003,1.4421383662030938
a_subj(none).68,1.4089109982736472,1.366714399863239,1.4651391459321408
a_subj(none).69,1.3943716307240908,1.3403944011230553,1.4392717131399717
v(equal_friend),-1.97663189943986,-2.0632247524169083,-1.8757628880022923
v(equal_self),1.6261132049674332,1.5476427275622757,1.7100732284709212
v(none_friend),-2.2442972073482106,-2.316070350936729,-2.1649850949025797
v(none_self),2.0178512887820608,1.9430065986283003,2.0936819691156106
v_std,0.04069303144483652,0.007245615264349414,0.0914098551549877
v_subj(equal_friend).29,-1.9720990110019483,-2.0929274843886985,-1.8507845452776268
v_subj(equal_friend).30,-1.9762105600047701,-2.100167506484847,-1.8551126344994597
v_subj(equal_friend).31,-1.9849666154148464,-2.1131281886037963,-1.8612719143764498
v_subj(equal_friend).32,-1.9758801412276463,-2.096924946216694,-1.8535326199395274
v_subj(equal_friend).34,-1.9910467749596052,-2.127865555969872,-1.8647187728648513
v_subj(equal_friend).35,-1.976539013295116,-2.0974389251102012,-1.852324865701696
v_subj(equal_friend).36,-1.9836170158951596,-2.106381978041147,-1.8604960471320988
v_subj(equal_friend).37,-1.9781014700217763,-2.1000342357065276,-1.8552864430122467
v_subj(equal_friend).38,-1.9798170265613617,-2.102606406856763,-1.8560065020239231
v_subj(equal_friend).39,-1.9710225328413007,-2.090738488994335,-1.8495791931511425
v_subj(equal_friend).40,-1.9892474641621904,-2.118045803183173,-1.8647477559148575
v_subj(equal_friend).41,-1.9868657909472744,-2.1132611403190396,-1.8638564117698442
v_subj(equal_friend).42,-1.9726197327772,-2.0944864176353253,-1.8508735889186292
v_subj(equal_friend).43,-1.9636316808396062,-2.0774325883986804,-1.8385249044428722
v_subj(equal_friend).45,-1.9683518382875622,-2.087195362160338,-1.8453381361933627
v_subj(equal_friend).46,-1.975652657091886,-2.0967602691566363,-1.8525800803063828
v_subj(equal_friend).47,-1.9707970706071318,-2.092026588723412,-1.8491285977952399
v_subj(equal_friend).48,-1.971630213456736,-2.092226019813428,-1.8490646570694373
v_subj(equal_friend).49,-1.980055259409403,-2.106478321474017,-1.855777111014838
